heatwave,hour,mean,std,n,se,tcrit,ci,lo,hi
0,0,44199.19298245614,3029.9165585554842,114,283.7776859019501,1.98118035937458,562.2147777377122,43636.97820471843,44761.40776019385
0,1,42473.34210526316,3020.1772784776563,114,282.86551874835874,1.98118035937458,560.4076100885504,41912.93449517461,43033.74971535171
0,2,41485.86842105263,3019.1123864478436,114,282.76578247175985,1.98118035937458,560.2100145362355,40925.6584065164,42046.07843558887
0,3,41428.19298245614,3161.2629879910883,114,296.07940612308045,1.98118035937458,586.5867042263368,40841.6062782298,42014.77968668247
0,4,42104.412280701756,3476.62667297061,114,325.6159214070743,1.98118035937458,645.1038681913525,41459.3084125104,42749.51614889311
0,5,44332.850877192985,4614.435587558341,114,432.1814899764779,1.98118035937458,856.22947962664,43476.62139756634,45189.08035681963
0,6,49907.79824561404,7428.857028274644,114,695.7762088950979,1.98118035937458,1378.4581595830728,48529.34008603096,51286.25640519711
0,7,54431.67543859649,8715.626894725587,114,816.2932488639802,1.98118035937458,1617.224152139384,52814.45128645711,56048.89959073587
0,8,57489.23684210526,8522.243527893294,114,798.1812371068779,1.98118035937458,1581.3409901774512,55907.89585192781,59070.57783228271
0,9,59033.78070175439,7724.241682582941,114,723.4415165135093,1.98118035937458,1433.2681236727256,57600.51257808167,60467.04882542711
0,10,60609.833333333336,7447.755689648015,114,697.5462307051165,1.98118035937458,1381.9648920287464,59227.86844130459,61991.79822536208
0,11,62054.64035087719,7299.654324616225,114,683.6752669886508,1.98118035937458,1354.4840111480871,60700.1563397291,63409.12436202528
0,12,61633.40350877193,7215.706666917416,114,675.8128484770289,1.98118035937458,1338.9071420156786,60294.496366756255,62972.31065078761
0,13,60552.43859649123,7564.747916809179,114,708.5035567075653,1.98118035937458,1403.6733310960624,59148.765265395166,61956.11192758729
0,14,59247.59649122807,7638.790413814368,114,715.4382719224793,1.98118035937458,1417.4122526777062,57830.18423855036,60665.008743905775
0,15,58340.10526315789,7493.304160746364,114,701.8122358821117,1.98118035937458,1390.4166176983997,56949.68864545949,59730.52188085629
0,16,57430.94736842105,7046.889197371931,114,660.0016438046862,1.98118035937458,1307.5822938607816,56123.36507456027,58738.529662281835
0,17,57410.86842105263,6527.282058485702,114,611.3359764169461,1.98118035937458,1211.166829456335,56199.7015915963,58622.03525050897
0,18,57347.5,5914.9872242323445,114,553.9893109903002,1.98118035937458,1097.552742237439,56249.947257762564,58445.052742237436
0,19,56910.07894736842,5719.985200402811,114,535.7256981154545,1.98118035937458,1061.369231118574,55848.70971624985,57971.44817848699
0,20,55264.666666666664,5291.943762981656,114,495.63594440968575,1.98118035937458,981.9441984645406,54282.722468202126,56246.6108651312
0,21,53018.80701754386,4512.4849674982,114,422.63293955344955,1.98118035937458,837.3120790680383,52181.49493847582,53856.1190966119
0,22,50549.62280701754,3726.350427876268,114,349.0046939730287,1.98118035937458,691.4412450289003,49858.18156198864,51241.064052046444
0,23,46942.429824561405,3307.6706505031543,114,309.7917400646446,1.98118035937458,613.7533109125491,46328.676513648854,47556.183135473955
1,0,46029.25,3784.3131382816923,8,1337.9567411061646,2.3646242515927844,3163.764957601685,42865.485042398315,49193.014957601685
1,1,44312.75,3720.445585832812,8,1315.3761513889692,2.3646242515927844,3110.3703475411385,41202.37965245886,47423.12034754114
1,2,43280.375,3659.2865790830238,8,1293.7531771872648,2.3646242515927844,3059.240138352223,40221.13486164778,46339.61513835222
1,3,43116.875,3765.2544758431854,8,1331.218486380858,2.3646242515927844,3147.8315170648157,39969.04348293519,46264.70651706481
1,4,43935.75,4019.951376749298,8,1421.2674392698132,2.3646242515927844,3360.7634548965752,40574.98654510343,47296.51345489657
1,5,46783.0,4831.63675313922,8,1708.2415561874475,2.3646242515927844,4039.3494113394363,42743.65058866057,50822.34941133943
1,6,52409.0,6735.25286406213,8,2381.271486592224,2.3646242515927844,5630.812306822375,46778.18769317763,58039.81230682237
1,7,57404.375,7801.772727811837,8,2758.3432005560094,2.3646242515927844,6522.445226250799,50881.9297737492,63926.8202262508
1,8,60633.875,7845.357780014151,8,2773.752843541322,2.3646242515927844,6558.883241762256,54074.991758237746,67192.75824176226
1,9,62196.25,7390.303275238439,8,2612.866780473126,2.3646242515927844,6178.448155287913,56017.801844712085,68374.69815528792
1,10,63998.75,7260.461039080094,8,2566.960617637131,2.3646242515927844,6069.897329348352,57928.85267065165,70068.64732934836
1,11,65423.75,7099.2912473208,8,2509.97849129942,2.3646242515927844,5935.156011502877,59488.59398849712,71358.90601150287
1,12,65008.125,6802.680195282277,8,2405.1106481637626,2.3646242515927844,5687.182966412074,59320.942033587926,70695.30796641207
1,13,64272.375,7029.097766478589,8,2485.1613481501126,2.3646242515927844,5876.472792956775,58395.902207043226,70148.84779295677
1,14,63325.875,7081.754230566241,8,2503.7782195649547,2.3646242515927844,5920.494698593096,57405.380301406905,69246.3696985931
1,15,62363.625,6943.79151138421,8,2455.00103242268,2.3646242515927844,5805.154978951993,56558.47002104801,68168.77997895199
1,16,61211.5,6635.528033677069,8,2346.0134346832465,2.3646242515927844,5547.44026221449,55664.05973778551,66758.94026221448
1,17,61007.5,6090.988495896446,8,2153.489634788813,2.3646242515927844,5092.193815975315,55915.30618402468,66099.69381597532
1,18,60638.125,5363.533628322177,8,1896.2954998543494,2.3646242515927844,4484.026327141856,56154.09867285814,65122.15132714186
1,19,59813.125,4969.804981442575,8,1757.0914017763641,2.3646242515927844,4154.860940905552,55658.26405909445,63967.98594090555
1,20,58423.875,4361.941882022598,8,1542.1793419598953,2.3646242515927844,3646.67467230377,54777.20032769623,62070.54967230377
1,21,56525.75,3759.806368494452,8,1329.292289555397,2.3646242515927844,3143.2767853379896,53382.47321466201,59669.02678533799
1,22,53500.375,3077.7147801343035,8,1088.136495795515,2.3646242515927844,2573.0339470012646,50927.34105299874,56073.40894700126
1,23,49788.75,2665.1939489865053,8,942.2883572528556,2.3646242515927844,2228.157901553628,47560.592098446374,52016.907901553626
